【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=468 | 北京时间=2026-07-10 03:01:15 | UTC=2026-07-09 19:17:34

MAX 偏空 | rolling_score=-0.2 杠杆项=+0.0 | 最强窗口=72h -$4.83B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$4.83B，资金分-0.2；72h-$4.83B 质量=0.14 覆盖=63% 钱包=7 持续=9轮/3天；含断跑gap=1；Top1占比79%；现货主导100%且无合约低杠杆确认
QUANT 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $222.33M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$222.33M，资金分+0.1；72h$222.33M 质量=0.05 覆盖=33% 钱包=1 持续=4轮/2天；窗口未成熟：覆盖33%/50% span=24.0h；持续性不足：4/6轮 2/2天；参与钱包少：1/2个；Top1占比100%
HYPE 偏空 | rolling_score=-1.3 杠杆项=+0.1 | 最强窗口=72h -$33.93M | 均杠杆=6.605560712005656 高风险占比=44% | 主滚动窗口取72h：-$33.93M，资金分-1.2；72h-$33.93M 质量=0.75 覆盖=100% 钱包=17 持续=55轮/4天；含断跑gap=1；其他成熟窗口同向确认1组，确认分-0.2
SOL 偏空 | rolling_score=-0.7 杠杆项=+0.5 | 最强窗口=72h -$20.26M | 均杠杆=16.00395590200494 高风险占比=81% | 主滚动窗口取72h：-$20.26M，资金分-1.2；杠杆健康：低/中杠杆19% 均16.0x；72h-$20.26M 质量=0.75 覆盖=100% 钱包=6 持续=54轮/4天；含断跑gap=1
BASED 偏空 | rolling_score=-0.3 杠杆项=+0.0 | 最强窗口=6h -$18.50M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取6h：-$18.50M，资金分-0.3；6h-$18.50M 质量=0.40 覆盖=67% 钱包=0 持续=4轮/1天；现货主导100%且无合约低杠杆确认
KNTQ 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=72h -$15.81M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$15.81M，资金分-0.1；72h-$15.81M 质量=0.06 覆盖=54% 钱包=2 持续=3轮/2天；持续性不足：3/6轮 2/2天；含断跑gap=1；Top1占比81%；现货主导100%且无合约低杠杆确认
ZEC 偏空 | rolling_score=-0.9 杠杆项=+0.3 | 最强窗口=72h -$8.28M | 均杠杆=7.735298508059416 高风险占比=65% | 主滚动窗口取72h：-$8.28M，资金分-1.2；杠杆健康：低/中杠杆35% 均7.7x；72h-$8.28M 质量=0.75 覆盖=100% 钱包=13 持续=52轮/4天；含断跑gap=1
LIT 偏多 | rolling_score=+1.0 杠杆项=+0.4 | 最强窗口=72h $7.08M | 均杠杆=4.8583887874326965 高风险占比=1% | 主滚动窗口取72h：$7.08M，资金分+0.5；杠杆健康：低/中杠杆99% 均4.9x；72h$7.08M 质量=0.34 覆盖=100% 钱包=2 持续=51轮/4天；含断跑gap=1；Top1占比80%
QONE 偏多 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=24h $5.23M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取24h：$5.23M，资金分+0.1；24h$5.23M 质量=0.11 覆盖=87% 钱包=1 持续=11轮/2天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
UBONK 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=24h $4.33M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取24h：$4.33M，资金分+0.1；24h$4.33M 质量=0.11 覆盖=96% 钱包=1 持续=15轮/2天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认
UPUMP 偏多 | rolling_score=+0.2 杠杆项=+0.0 | 最强窗口=24h $2.75M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取24h：$2.75M，资金分+0.2；24h$2.75M 质量=0.18 覆盖=96% 钱包=2 持续=12轮/2天；Top1占比87%；现货主导100%且无合约低杠杆确认
