【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1374 | 北京时间=2026-08-21 09:00:34 | UTC=2026-08-21 01:17:03

NEKO 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=30d -$8.30B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$8.30B，资金分-0.8；30d-$8.30B 质量=0.30 覆盖=84% 钱包=50 持续=32轮/18天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
BASED 偏多 | rolling_score=+0.0 杠杆项=+0.0 | 最强窗口=30d $123.52M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$123.52M，资金分+0.3；30d$123.52M 质量=0.10 覆盖=83% 钱包=4 持续=13轮/9天；持续性不足：13/20轮 9/10天；含断跑gap=1；Top3占比97%；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
BRIDGE 偏多 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=15d $103.28M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$103.28M，资金分+0.1；15d$103.28M 质量=0.05 覆盖=94% 钱包=3 持续=3轮/3天；持续性不足：3/12轮 3/6天；Top1占比99%；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理；存在反向滚动窗口1组，冲突扣分-0.2
BTC 偏多 | rolling_score=+1.2 杠杆项=-0.6 | 最强窗口=72h $81.41M | 均杠杆=25.882754822118397 高风险占比=93% | 主滚动窗口取72h：$81.41M，资金分+1.6；杠杆风险：高风险93% 均25.9x；72h$81.41M 质量=1.00 覆盖=100% 钱包=31 持续=43轮/4天；其他成熟窗口同向确认1组，确认分+0.2
KNTQ 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=30d -$69.87M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$69.87M，资金分-0.8；30d-$69.87M 质量=0.30 覆盖=86% 钱包=12 持续=60轮/14天；含断跑gap=2；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
ETH 偏多 | rolling_score=+1.3 杠杆项=-0.5 | 最强窗口=72h $51.40M | 均杠杆=16.39107805126141 高风险占比=84% | 主滚动窗口取72h：$51.40M，资金分+1.6；杠杆风险：高风险84% 均16.4x；72h$51.40M 质量=1.00 覆盖=100% 钱包=38 持续=45轮/4天；其他成熟窗口同向确认1组，确认分+0.2
UBONK 偏多 | rolling_score=+0.2 杠杆项=+0.0 | 最强窗口=30d $43.09M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$43.09M，资金分+0.2；30d$43.09M 质量=0.08 覆盖=86% 钱包=2 持续=139轮/26天；含断跑gap=3；参与钱包少：2/3个；Top1占比83%；现货主导100%且无合约低杠杆确认
HYPE 偏空 | rolling_score=-2.3 杠杆项=+0.1 | 最强窗口=30d -$39.34M | 均杠杆=6.670806441620395 高风险占比=43% | 主滚动窗口取30d：-$39.34M，资金分-2.0；30d-$39.34M 质量=0.75 覆盖=87% 钱包=75 持续=287轮/27天；含断跑gap=7；其他成熟窗口同向确认2组，确认分-0.5
SOL 偏空 | rolling_score=-1.4 杠杆项=+0.5 | 最强窗口=30d -$39.44M | 均杠杆=16.033247206088483 高风险占比=84% | 主滚动窗口取30d：-$39.44M，资金分-2.0；杠杆健康：低/中杠杆16% 均16.0x；30d-$39.44M 质量=0.75 覆盖=87% 钱包=21 持续=321轮/27天；含断跑gap=7
BUDDY 偏空 | rolling_score=-0.3 杠杆项=+0.0 | 最强窗口=30d -$40.36M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$40.36M，资金分-0.6；30d-$40.36M 质量=0.23 覆盖=82% 钱包=4 持续=32轮/14天；含断跑gap=3；Top3占比92%；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
ZEC 偏多 | rolling_score=+2.3 杠杆项=+0.3 | 最强窗口=30d $20.77M | 均杠杆=4.603948861233054 高风险占比=30% | 主滚动窗口取30d：$20.77M，资金分+2.0；杠杆健康：低/中杠杆70% 均4.6x；30d$20.77M 质量=0.75 覆盖=87% 钱包=30 持续=331轮/26天；含断跑gap=7
